11214255,4555,2015,1,C,R,Y,2015_01_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214256,4555,2015,2,C,R,Y,2015_02_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214257,4555,2015,3,C,R,Y,2015_03_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214258,4555,2015,4,C,R,Y,2015_04_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214259,4555,2015,5,C,R,Y,2015_05_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214260,4555,2015,6,C,R,Y,2015_06_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214261,4555,2015,7,C,R,Y,2015_07_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214262,4555,2015,8,C,R,Y,2015_08_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214263,4555,2015,9,C,R,Y,2015_09_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
11214264,4555,2015,10,C,R,Y,2015_10_ID0070400_RETA,0,10-JAN-17,10-JAN-17,MIGRATION,,M,0,0,0,3,,,,0
