12091,2,2015,Z,0,224109510,N,,,2015_02_NJ0011200_HC,,C,
12471,2,2015,Z,0,224109511,N,,,2015_02_NJ0131000_HC,,C,
12472,2,2015,Z,0,224109512,N,,,2015_02_NJ0131100_HC,,C,
12473,2,2015,Z,0,224109513,N,,,2015_02_NJ0131200_HC,,C,
12474,2,2015,Z,0,224109514,N,,,2015_02_NJ0131300_HC,,C,
12475,2,2015,U,0,224109515,N,,,2015_02_NJ0131400_HC,,C,
12476,2,2015,I,1,224109516,N,,,2015_02_NJ0131500_HC,,C,
12477,2,2015,I,1,224109517,N,,,2015_02_NJ0131600_HC,,C,
12478,2,2015,Z,0,224109518,N,,,2015_02_NJ0131700_HC,,C,
12479,2,2015,Z,0,224109519,N,,,2015_02_NJ0131800_HC,,C,
