9893579,175,2015,1,R,Y,M,N,,2015_01_AL0160100_ASR,,C,0
9893580,175,2015,7,R,Y,M,N,,2015_07_AL0160100_ASR,,C,0
9893581,175,2015,12,R,Y,M,N,,2015_12_AL0160100_ASR,,C,0
9893582,176,2015,8,R,Y,M,N,,2015_08_AL0160200_ASR,,C,0
9893583,181,2015,8,R,Y,M,N,,2015_08_AL0170100_ASR,,C,0
9893584,181,2015,11,R,Y,M,N,,2015_11_AL0170100_ASR,,C,0
9893585,182,2015,3,R,Y,M,N,,2015_03_AL0170200_ASR,,C,0
9893586,182,2015,5,R,Y,M,N,,2015_05_AL0170200_ASR,,C,0
9893587,183,2015,2,R,Y,M,N,,2015_02_AL0180000_ASR,,C,0
9893588,184,2015,11,R,Y,M,N,,2015_11_AL0180100_ASR,,C,0
