Record Type,ORI,Agency Name,Incident Number,Incident Date,Data Source,Report Date Indicator,Incident Hour,Cleared Exceptionally,CT Offense #1,CT Location #1,CT Offense #2,CT Location #2,CT Offense #3,CT Location #3,CT Offense #4,CT Location #4,CT Offense #5,CT Location #5,CT Offense #6,CT Location #6,CT Offense #7,CT Location #7,CT Offense #8,CT Location #8,CT Offense #9,CT Location #9,CT Offense #10,CT Location #10,Wpn Type #1,Wpn Auto #1,Wpn Type #2,Wpn Auto #2,Wpn Type #3,Wpn Auto #3,Victim Type #1,Victim Type #2,Victim Type #3,Victim Type #4,Victim Type #5,Victim Type #6,Victim Type #7,Victim Type #8,Victim Type #9,Stolen Prop Desc #1,Value of Stolen Prop #1,Prop Rec Date #1,Prop Rec Value #1,Stolen Prop Desc #2,Value of Stolen Prop #2,Prop Rec Date #2,Prop Rec Value #2,Stolen Prop Desc #3,Value of Stolen Prop #3,Prop Rec Date #3,Prop Rec Value #3,Stolen Prop Desc #4,Value of Stolen Prop #4,Prop Rec Date #4,Prop Rec Value #4,Stolen Prop Desc #5,Value of Stolen Prop #5,Prop Rec Date #5,Prop Rec Value #5,Stolen Prop Desc #6,Value of Stolen Prop #6,Prop Rec Date #6,Prop Rec Value #6,Stolen Prop Desc #7,Value of Stolen Prop #7,Prop Rec Date #7,Prop Rec Value #7,Stolen Prop Desc #8,Value of Stolen Prop #8,Prop Rec Date #8,Prop Rec Value #8,Stolen Prop Desc #9,Value of Stolen Prop #9,Prop Rec Date #9,Prop Rec Value #9,Stolen Prop Desc #10,Value of Stolen Prop #10,Prop Rec Date #10,Prop Rec Value #10,Unknown Offender Indicator,Offender Count,Age of Offender #1,Sex of Offender #1,Race of Offender #1,Ethnicity of Offender #1,Age of Offender #2,Sex of Offender #2,Race of Offender #2,Ethnicity of Offender #2,Age of Offender #3,Sex of Offender #3,Race of Offender #3,Ethnicity of Offender #3,Age of Offender #4,Sex of Offender #4,Race of Offender #4,Ethnicity of Offender #4,Age of Offender #5,Sex of Offender #5,Race of Offender #5,Ethnicity of Offender #5,Arrestee Count,Age of Arrestee #1,Sex of Arrestee #1,Race of Arrestee #1,Ethnicity of Arrestee #1,Age of Arrestee #2,Sex of Arrestee #2,Race of Arrestee #2,Ethnicity of Arrestee #2,Age of Arrestee #3,Sex of Arrestee #3,Race of Arrestee #3,Ethnicity of Arrestee #3,Age of Arrestee #4,Sex of Arrestee #4,Race of Arrestee #4,Ethnicity of Arrestee #4,Age of Arrestee #5,Sex of Arrestee #5,Race of Arrestee #5,Ethnicity of Arrestee #5
IR,DE0020600,WILMINGTON,3013023809,20130412,N,R,08,,23D,19,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,16,2040,00000000,0,38,4000,00000000,0,43,6300,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,1,39,M,B,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,DE303SP00,SP: SUSSEX C,0413057066,20131003,N,R,14,,23F,12,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,74,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,IN0410300,GREENWOOD,G13L24164,20131110,H,,,,23F,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,500,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,00,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,,,,0,,,,0,,,,0,,,,0,,,
IR,IN0410300,GREENWOOD,G13L22797,20131022,H,,0,,23F,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,8,200,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
IR,ME0030600,SOUTH PORTLA,0213001478,20130219,N,,08,,23F,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,300,20130219,300,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,1,46,M,W,,,,,,,,,,,,,,,,,,1,46,M,W,N,,,,,,,,,,,,,,,,
IR,MI1124900,BENTON TOWNS,130013010182,20131028,N,,07,,240,23,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,24,1,20131111,1,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,MI2532100,CLIO,130000000296,20130914,N,,01,,23F,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,850,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,MI3053600,LITCHFIELD,130000000245,20130211,N,R,09,,23H,48,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,19,30000,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,MI3713700,ISABELLA,130001302257,20130917,N,R,14,,23D,25,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,70,150,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,MI3889000,BLACKMAN TOW,131300012796,20130816,N,,14,,23F,51,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,77,200,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,,0,00000000,0,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
