Record Type,ORI,Agency Name,Incident Number,Incident Date,Data Source,Report Date Indicator,Incident Hour,Cleared Exceptionally,CT Offense #1,CT Location #1,CT Offense #2,CT Location #2,CT Offense #3,CT Location #3,CT Offense #4,CT Location #4,CT Offense #5,CT Location #5,CT Offense #6,CT Location #6,CT Offense #7,CT Location #7,CT Offense #8,CT Location #8,CT Offense #9,CT Location #9,CT Offense #10,CT Location #10,Wpn Type #1,Wpn Auto #1,Wpn Type #2,Wpn Auto #2,Wpn Type #3,Wpn Auto #3,Victim Type #1,Victim Type #2,Victim Type #3,Victim Type #4,Victim Type #5,Victim Type #6,Victim Type #7,Victim Type #8,Victim Type #9,Stolen Prop Desc #1,Value of Stolen Prop #1,Prop Rec Date #1,Prop Rec Value #1,Stolen Prop Desc #2,Value of Stolen Prop #2,Prop Rec Date #2,Prop Rec Value #2,Stolen Prop Desc #3,Value of Stolen Prop #3,Prop Rec Date #3,Prop Rec Value #3,Stolen Prop Desc #4,Value of Stolen Prop #4,Prop Rec Date #4,Prop Rec Value #4,Stolen Prop Desc #5,Value of Stolen Prop #5,Prop Rec Date #5,Prop Rec Value #5,Stolen Prop Desc #6,Value of Stolen Prop #6,Prop Rec Date #6,Prop Rec Value #6,Stolen Prop Desc #7,Value of Stolen Prop #7,Prop Rec Date #7,Prop Rec Value #7,Stolen Prop Desc #8,Value of Stolen Prop #8,Prop Rec Date #8,Prop Rec Value #8,Stolen Prop Desc #9,Value of Stolen Prop #9,Prop Rec Date #9,Prop Rec Value #9,Stolen Prop Desc #10,Value of Stolen Prop #10,Prop Rec Date #10,Prop Rec Value #10,Unknown Offender Indicator,Offender Count,Age of Offender #1,Sex of Offender #1,Race of Offender #1,Ethnicity of Offender #1,Age of Offender #2,Sex of Offender #2,Race of Offender #2,Ethnicity of Offender #2,Age of Offender #3,Sex of Offender #3,Race of Offender #3,Ethnicity of Offender #3,Age of Offender #4,Sex of Offender #4,Race of Offender #4,Ethnicity of Offender #4,Age of Offender #5,Sex of Offender #5,Race of Offender #5,Ethnicity of Offender #5,Arrestee Count,Age of Arrestee #1,Sex of Arrestee #1,Race of Arrestee #1,Ethnicity of Arrestee #1,Age of Arrestee #2,Sex of Arrestee #2,Race of Arrestee #2,Ethnicity of Arrestee #2,Age of Arrestee #3,Sex of Arrestee #3,Race of Arrestee #3,Ethnicity of Arrestee #3,Age of Arrestee #4,Sex of Arrestee #4,Race of Arrestee #4,Ethnicity of Arrestee #4,Age of Arrestee #5,Sex of Arrestee #5,Race of Arrestee #5,Ethnicity of Arrestee #5
IR,DE303SP00,SP: SUSSEX C,0414017430,20140401,N,R,13,,23F,17,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,02,000000016,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,50,M,W,,,,,,,,,,,,,,,,,,1,50,M,W,N,,,,,,,,,,,,,,,,
IR,FL0010100,GAINESVILLE,0214005636,20140325,H,R,01,,240,48,220,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,15,000080000,20140325,000080000,43,000000001,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0010100,GAINESVILLE,214018220,20140913,E,R,14,,23H,45,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,78,000010000,20140914,000010000,78,000010000,00000000,000000000,15,000006000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0050000,BREVARD,14-284738,20140912,E,,14,,240,18,23H,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000033000,20140912,000033000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,40,M,W,,,,,,,,,,,,,,,,,,1,40,M,W,,,,,,,,,,,,,,,,,
IR,FL0060000,BROWARD,01140100634,20140118,H,R,21,,240,05,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,35,000150000,00000000,000000000,77,000035000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0060000,BROWARD,11-1408-0010,20140805,E,,08,,23H,25,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000090000,20140807,000090000,77,000050000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0060700,POMPANO BEAC,11-14-06-006,20140626,E,,07,,23H,19,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,78,000067500,20140627,000067500,08,000106849,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0060700,POMPANO BEAC,11-1408-0010,20140805,E,,08,,23H,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000050000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0060700,POMPANO BEAC,11-1410-0032,20141013,E,,06,,240,25,,,,,,,,,,,,,,,,,,,,,,,,,B,I,,,,,,,,37,000040000,20141014,000040000,08,000005000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0060700,POMPANO BEAC,11-1411-3921,20141114,E,,21,,240,18,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,77,000010600,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
