ori,months_reported,sex_acts,sex_acts_cleared,sex_acts_juvenile_cleared,servitude,servitude_cleared,servitude_juvenile_cleared
AR06003,1,1,1,0,0,0,0
AR07201,3,3,1,0,0,0,0
CO00101,5,8,4,0,0,0,0
CO00300,3,1,0,0,4,0,0
CO00311,1,0,0,0,1,0,0
CO03004,1,1,0,0,0,0,0
CO03901,2,1,1,0,0,0,0
CO06401,1,0,0,0,1,0,0
ILCPD00,12,18,0,0,1,0,0
IL00101,1,0,0,0,0,0,0
IL00606,1,0,0,0,0,0,0
IL00802,12,0,0,0,0,0,0
IL01000,2,0,0,0,0,0,0
IL01004,1,0,0,0,0,0,0
IL01104,5,0,0,0,0,0,0
IL01402,2,0,0,0,0,0,0
IL01610,12,0,0,0,0,0,0
IL01621,7,0,0,0,0,0,0
IL01646,1,0,0,0,0,0,0
IL01672,6,0,0,0,0,0,0
IL0169B,1,0,0,0,0,0,0
IL0169E,12,0,0,0,0,0,0
IL01693,10,0,0,0,0,0,0
IL01802,12,0,0,0,0,0,0
IL01903,3,0,0,0,0,0,0
IL01908,12,0,0,0,0,0,0
IL02216,4,0,0,0,0,0,0
IL02219,12,0,0,0,0,0,0
IL02300,2,0,0,0,0,0,0
IL02604,3,0,0,0,0,0,0
IL02802,12,0,0,0,0,0,0
IL03103,1,0,0,0,0,0,0
IL03206,10,0,0,0,0,0,0
IL03400,12,0,0,0,0,0,0
IL03801,1,0,0,0,0,0,0
IL04505,3,0,0,0,0,0,0
IL04702,1,0,0,0,0,0,0
IL04900,2,0,0,0,0,0,0
IL04912,1,0,0,0,0,0,0
IL04919,1,0,0,0,0,0,0
IL04926,1,0,0,0,0,0,0
IL05009,1,0,0,0,0,0,0
IL05013,7,0,0,0,0,0,0
IL05505,2,0,0,0,0,0,0
IL05601,6,0,0,0,0,0,0
IL05610,1,0,0,0,0,0,0
IL05625,12,0,0,0,0,0,0
IL05700,1,0,0,0,0,0,0
IL05706,12,0,0,0,0,0,0
IL05707,1,0,0,0,0,0,0
IL05711,3,0,0,0,0,0,0
IL05800,1,0,0,0,0,0,0
IL06007,3,0,0,0,0,0,0
IL06100,2,0,0,0,0,0,0
IL06105,12,0,0,0,0,0,0
IL06203,12,0,0,0,0,0,0
IL06502,4,0,0,0,0,0,0
IL07102,12,0,0,0,0,0,0
IL07103,3,0,0,0,0,0,0
IL07301,1,0,0,0,0,0,0
IL07500,12,0,0,0,0,0,0
IL08108,1,0,0,0,0,0,0
IL08202,3,0,0,0,0,0,0
IL08240,3,0,0,0,0,0,0
IL08300,1,0,0,0,0,0,0
IL08303,2,0,0,0,0,0,0
IL08413,2,0,0,0,0,0,0
IL09103,12,0,0,0,0,0,0
IL09909,1,0,0,0,0,0,0
IL09913,1,0,0,0,0,0,0
IL09917,1,0,0,0,0,0,0
IL10113,12,0,0,0,0,0,0
IL10118,3,0,0,0,0,0,0
IN02001,6,0,0,0,0,0,0
IN02201,8,0,0,0,0,0,0
IN07600,1,0,0,0,0,0,0
IN08001,1,0,0,0,0,0,0
IN09000,3,0,0,0,0,0,0
LANPD00,4,0,0,0,0,0,0
LA00103,1,0,0,0,0,0,0
LA00504,1,0,0,0,0,0,0
LA01704,6,0,0,0,0,0,0
LA02500,1,0,0,0,0,0,0
LA02504,1,0,0,0,0,0,0
LA02603,12,0,0,0,0,0,0
LA03106,1,0,0,0,0,0,0
LA03700,1,0,0,0,0,0,0
LA04010,1,0,0,0,0,0,0
LA04101,2,0,0,0,0,0,0
LA04400,1,0,0,0,0,0,0
LA05104,1,0,0,0,0,0,0
LA05300,1,0,0,0,0,0,0
LA05302,1,0,0,0,0,0,0
LA05500,1,0,0,0,0,0,0
LA05501,1,0,0,0,0,0,0
LA06400,1,0,0,0,0,0,0
MD01100,1,1,1,0,0,0,0
MD01401,4,3,2,0,0,0,0
MD01604,2,5,5,0,0,0,0
MA00911,1,0,0,0,1,1,0
MA01301,2,0,0,0,0,0,0
MA01304,1,0,0,0,1,0,0
MI33033,2,3,3,0,0,0,0
MN00200,3,2,1,0,0,0,0
MN00201,1,1,0,0,0,0,0
MN00202,2,1,1,0,0,0,0
MN00204,1,1,1,0,0,0,0
MN00205,2,5,5,0,0,0,0
MN00401,2,3,3,0,0,0,0
MN01000,5,3,2,0,0,0,0
MN01404,1,1,1,0,0,0,0
MN01702,1,1,1,0,0,0,0
MN01801,3,3,0,0,0,0,0
MN01903,1,7,6,0,0,0,0
MN01911,1,6,6,0,0,0,0
MN02300,1,1,0,0,0,0,0
MN02401,1,1,1,0,0,0,0
MN02601,1,1,1,0,0,0,0
MN02703,1,1,0,0,0,0,0
MN02708,1,1,0,0,0,0,0
MN02712,2,2,0,0,0,0,0
MN02717,3,3,4,0,0,0,0
MN02720,1,1,0,0,0,0,0
MN02721,1,1,0,0,0,0,0
MN02727,2,2,1,0,0,0,0
MN02729,1,1,0,0,0,0,0
MN05200,1,2,2,0,0,0,0
MN05501,9,13,12,0,0,0,0
MN06208,2,3,1,0,0,0,0
MN06209,6,14,0,0,0,0,0
MN06906,6,9,4,0,0,0,0
MN07300,1,1,0,0,0,0,0
MN07304,2,1,2,0,0,0,0
MN07306,7,10,11,0,0,0,0
MN07401,1,1,1,0,0,0,0
MN08202,1,1,0,0,0,0,0
MN08207,2,1,1,0,0,0,0
MN08211,1,7,7,0,0,0,0
MN08302,1,1,1,0,0,0,0
MN08502,1,1,1,0,0,0,0
MN08601,1,1,0,0,0,0,0
MSDI050,1,0,0,0,0,0,0
MS01703,0,0,0,0,0,0,0
MS04201,1,0,0,0,0,0,0
MS05301,12,0,0,0,0,0,0
MS05501,1,0,0,0,0,0,0
MS06100,1,0,0,0,0,0,0
MS06104,1,0,0,0,0,0,0
MOMHPAA,12,0,0,0,0,0,0
MOMHPBB,12,0,0,0,0,0,0
MOMHPCC,12,0,0,0,0,0,0
MOMHPDD,12,0,0,0,0,0,0
MOMHPEE,12,0,0,0,0,0,0
MOMHPFF,12,0,0,0,0,0,0
MOMHPGG,12,0,0,0,0,0,0
MOMHPHH,12,0,0,0,0,0,0
MOMHPII,12,0,0,0,0,0,0
MOMHP07,12,0,0,0,0,0,0
MO02420,12,0,0,0,0,0,0
MO02612,12,0,0,0,0,0,0
MO02613,12,0,0,0,0,0,0
MO02615,12,0,0,0,0,0,0
MO02616,12,0,0,0,0,0,0
MO02617,12,0,0,0,0,0,0
MO02621,12,0,0,0,0,0,0
MO02622,12,0,0,0,0,0,0
MO04800,12,0,0,0,0,0,0
MO04827,12,0,0,0,0,0,0
MO08320,12,0,0,0,0,0,0
MO08321,12,0,0,0,0,0,0
MO09401,1,0,0,0,0,0,0
MO09500,3,6,0,0,0,0,0
MO09541,1,1,0,0,0,0,0
NB08704,1,0,0,0,0,0,0
NVDI058,1,0,0,0,0,0,0
NVDI064,3,0,0,0,0,0,0
NVDI065,3,0,0,0,0,0,0
NV00100,12,0,0,0,0,0,0
NV00101,12,0,0,0,0,0,0
NV00201,12,204,44,1,2,0,0
NV00202,12,0,0,0,0,0,0
NV00203,12,0,0,0,0,0,0
NV00204,12,0,0,0,0,0,0
NV00209,12,0,0,0,0,0,0
NV00210,12,0,0,0,0,0,0
NV00215,12,0,0,0,0,0,0
NV00216,12,0,0,0,0,0,0
NV00218,12,0,0,0,0,0,0
NV00300,12,0,0,0,0,0,0
NV00400,12,0,0,0,0,0,0
NV00401,12,0,0,0,0,0,0
NV00402,12,0,0,0,0,0,0
NV00405,12,0,0,0,0,0,0
NV00500,12,0,0,0,0,0,0
NV00600,12,0,0,0,0,0,0
NV00700,12,0,0,0,0,0,0
NV00701,12,0,0,0,0,0,0
NV00702,12,0,0,0,0,0,0
NV00800,12,0,0,0,0,0,0
NV00900,12,0,0,0,0,0,0
NV01000,12,0,0,0,0,0,0
NV01001,12,0,0,0,0,0,0
NV01100,12,0,0,0,0,0,0
NV01200,12,0,0,0,0,0,0
NV01300,12,0,0,0,0,0,0
NV01311,12,0,0,0,0,0,0
NV01313,12,0,0,0,0,0,0
NV01399,12,0,0,0,0,0,0
NV01400,12,0,0,0,0,0,0
NV01401,12,0,0,0,0,0,0
NV01500,12,0,0,0,0,0,0
NV01600,12,0,0,0,0,0,0
NV01601,12,10,5,0,0,0,0
NV01602,12,0,0,0,0,0,0
NV01603,12,0,0,0,0,0,0
NV01610,12,0,0,0,0,0,0
NV01615,12,0,0,0,0,0,0
NV01616,12,0,0,0,0,0,0
NV01700,12,0,0,0,0,0,0
NYDI021,2,0,0,0,0,0,0
NYDI022,3,0,0,0,0,0,0
NC08702,1,0,0,0,0,0,0
OH00200,12,1,0,0,1,1,1
OH00201,12,0,0,0,0,0,0
OH00202,12,1,0,0,0,0,0
OH00402,4,0,0,0,0,0,0
OH00510,11,0,0,0,0,0,0
OH00901,12,0,0,0,0,0,0
OH00917,11,0,0,0,0,0,0
OH01815,12,0,0,0,0,0,0
OH01823,3,0,0,0,0,0,0
OH01832,7,0,0,0,0,0,0
OH01838,2,0,0,0,0,0,0
OH01839,3,0,0,0,0,0,0
OH01843,1,0,0,0,0,0,0
OH01845,1,0,0,0,0,0,0
OH01851,2,0,0,0,0,0,0
OH01852,4,0,0,0,0,0,0
OH01853,12,0,0,0,0,0,0
OH01854,8,0,0,0,0,0,0
OH01857,6,0,0,0,0,0,0
OH01859,7,0,0,0,0,0,0
OH01864,12,0,0,0,0,0,0
OH01901,12,0,0,0,0,0,0
OH02101,0,0,0,0,0,0,0
OH02801,9,0,0,0,0,0,0
OH02803,7,0,0,0,0,0,0
OH02806,12,0,0,0,0,0,0
OH02818,12,0,0,0,0,0,0
OH02904,8,0,0,0,0,0,0
OH03001,2,0,0,0,0,0,0
OH03102,1,0,0,0,0,0,0
OH03116,12,0,0,0,0,0,0
OH03122,12,0,0,0,0,0,0
OH04301,2,0,0,0,0,0,0
OH04308,3,0,0,0,0,0,0
OH04321,12,0,0,0,0,0,0
OH04324,1,0,0,0,0,0,0
OH04706,4,0,0,0,0,0,0
OH04710,1,0,0,0,0,0,0
OH04807,2,0,0,0,0,0,0
OH04818,3,0,0,0,0,0,0
OH05208,4,0,0,0,0,0,0
OH05212,12,0,0,0,0,0,0
OH05705,2,0,0,0,0,0,0
