year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats
2008,MS,2938618,8942,236,958,,3079,4669,85488,25506,53730,6252,
2009,MS,2951996,8451,194,991,,2969,4297,87327,29559,52329,5439,
2010,MS,2970072,7999,204,931,,2777,4087,88596,30453,52784,5359,
2011,MS,2977457,8009,232,863,,2496,4418,89809,30722,54179,4908,
2012,MS,2986450,7769,213,819,,2277,4460,83933,28084,51520,4329,
2013,MS,2992206,8303,217,726,,2413,4649,81548,24969,52192,4387,
2014,MS,2993443,8331,259,768,1024,2405,4585,86887,23898,58515,4474,
2015,MS,2989390,8190,253,1158,851,2312,4467,85785,25068,56446,4271,
2016,MS,2988726,8383,238,1277,905,2397,4471,82732,23354,55054,4324,
1995,MO,5324000,35339,469,1711,1203,10863,22296,237278,49649,162430,25199,
1996,MO,5359000,31669,433,1566,,9142,20528,240781,47919,168870,23992,
1997,MO,5402000,31192,426,1525,,8430,20811,228889,46900,155472,26517,
1998,MO,5439000,30222,399,1463,,8116,20244,232284,47455,160363,24466,
1999,MO,5468338,27353,359,1439,,7149,18406,223010,42476,157550,22984,
2000,MO,5595211,27419,347,1351,,7598,18123,225919,41685,159539,24695,
2001,MO,5637309,30472,372,1383,,7771,20946,238411,42977,167420,28014,
2002,MO,5669544,30557,331,1465,,7024,21737,230520,42721,159921,27878,
2003,MO,5719204,28067,289,1400,,6686,19692,233564,41997,161616,29951,
2004,MO,5759532,28226,354,1479,,6630,19763,224629,40472,158264,25893,
2005,MO,5797703,30477,402,1625,,7196,21254,227809,42822,159288,25699,
2006,MO,5842713,31897,369,1764,,7597,22167,224007,44734,153874,25399,
2007,MO,5878415,32962,367,1785,,7728,23082,225113,44897,156319,23897,
2008,MO,5911605,29701,456,1612,,7395,20238,216522,45763,150002,20757,
2009,MO,5987580,29513,387,1606,,7437,20083,201783,43591,140764,17428,
2010,MO,5995715,27440,420,1445,,6185,19390,200858,44197,140526,16135,
2011,MO,6008984,26888,366,1469,,6275,18778,199085,44875,138879,15331,
2012,MO,6024522,27189,390,1527,,5782,19490,199813,42510,140971,16332,
2013,MO,6044917,26216,369,1679,,5486,18056,189655,38797,134514,16344,
2014,MO,6063827,26882,404,1728,2305,5592,18483,176436,35293,124769,16374,
2015,MO,6076204,30292,503,2573,1858,6383,20833,173788,34029,122749,17010,
2016,MO,6093000,31644,537,2554,1884,6570,21983,170549,31710,120544,18295,
1995,MT,870000,1491,35,231,2553,253,972,40246,5060,32797,2389,
1996,MT,879000,1415,34,238,,261,882,38084,4908,30928,2248,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total.
1997,MT,879000,1161,42,171,,179,769,37592,5002,30411,2179,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total.
1998,MT,880000,1797,18,235,,232,1312,36564,4575,29940,2049,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received.
1999,MT,882779,2090,22,293,,239,1536,29103,3876,23353,1874,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located."
2000,MT,902195,2807,20,308,,203,2276,32198,3624,26678,1896,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located."
2001,MT,905382,3187,34,188,,230,2735,30175,3670,24684,1821,
2002,MT,910372,3197,16,237,,283,2661,28751,3289,23679,1783,
2003,MT,918157,3351,30,246,,298,2777,28428,3722,22800,1906,
2004,MT,926920,2723,30,273,,233,2187,27215,3515,22082,1618,
2005,MT,934737,2634,18,301,,177,2138,29407,3642,23794,1971,
2006,MT,944632,3564,33,348,,233,2950,26986,3380,21659,1947,
2007,MT,957861,3638,27,363,,233,3015,27837,3476,22315,2046,
2008,MT,967440,3013,40,358,,204,2411,26300,3689,20834,1777,
2009,MT,974989,2798,32,357,,228,2181,24826,3686,19528,1612,
2010,MT,990958,2733,25,332,,154,2222,25409,3692,20166,1551,
2011,MT,997667,2755,29,366,,171,2189,23885,3347,19089,1449,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."
2012,MT,1005494,2803,29,392,,202,2180,26102,3920,20484,1698,
2013,MT,1014864,2924,23,382,,217,2217,26195,4122,20192,1881,
2014,MT,1023252,3361,38,396,467,202,2563,25525,3639,19826,2060,
2015,MT,1032073,3647,38,572,405,210,2827,27276,3887,20966,2423,
2016,MT,1042520,3840,36,578,414,266,2960,27976,3934,21299,2743,
1995,NE,1637000,6253,48,317,547,1067,4821,68140,10344,52044,5752,
1996,NE,1652000,7182,48,447,,1052,5635,66110,10152,50315,5643,
1997,NE,1657000,7265,50,406,,1097,5712,63717,9813,48363,5541,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.
1998,NE,1663000,7507,51,417,,1290,5749,65752,10544,49420,5788,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received.
1999,NE,1666028,7167,60,414,,1264,5429,61277,10158,45679,5440,The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division.
2000,NE,1711263,5606,63,436,,1147,3960,64479,10131,49118,5230,
2001,NE,1720039,5214,43,431,,1128,3612,68963,9760,52713,6490,
2002,NE,1727564,5428,48,464,,1359,3557,68178,10329,51440,6409,
2003,NE,1737475,5105,56,504,,1165,3380,65189,10133,48924,6132,
2004,NE,1747704,5393,40,620,,1138,3595,61512,9826,46399,5287,
2005,NE,1758163,5052,44,581,,1040,3387,60348,9408,45359,5581,
2006,NE,1768331,5197,51,577,,1136,3433,59411,9535,44710,5166,
2007,NE,1774571,5524,71,550,,1115,3788,55765,9035,41484,5246,
2008,NE,1783432,5570,69,601,,1297,3603,51350,8731,38394,4225,
2009,NE,1796619,5199,41,617,,1220,3321,49731,8726,37496,3509,
2010,NE,1830141,5093,54,674,,1020,3345,48827,8318,36896,3613,
2011,NE,1842234,4672,68,699,,993,2912,50894,8725,38060,4109,
2012,NE,1855350,4802,52,710,,1128,2912,51203,8745,38301,4157,
2013,NE,1868969,4949,56,621,,1035,3011,49197,8945,35791,4461,
2014,NE,1882980,5201,53,645,847,1044,3226,47526,7936,35063,4527,
2015,NE,1893765,5167,62,885,648,994,3226,42597,6443,32148,4006,
2016,NE,1907116,5550,49,994,738,946,3561,43163,6444,31994,4725,
1995,NV,1530000,14461,163,937,873,4966,8395,86203,20235,54563,11405,
1996,NV,1603000,13005,220,856,,4931,6998,83047,19558,52295,11194,
1997,NV,1677000,13395,187,1005,,5071,7132,88307,21975,53112,13220,
1998,NV,1747000,11244,170,911,,4453,5710,81006,19873,47367,13766,
1999,NV,1809253,10311,165,943,,4209,4994,73874,17613,43167,13094,
2000,NV,1998257,10474,129,860,,4543,4942,74823,17526,44125,13172,
2001,NV,2097722,12359,180,883,,4932,6364,77486,17711,45073,14702,
2002,NV,2167455,13856,181,928,,5118,7629,83896,18951,47459,17486,
2003,NV,2242207,13813,197,871,,5225,7520,96128,21958,53321,20849,
2004,NV,2332898,14379,172,954,,4905,8348,98215,23142,52438,22635,
2005,NV,2412301,14654,206,1016,,4702,8730,102424,23481,52012,26931,
2006,NV,2495529,18687,226,1092,,7038,10331,102338,24902,50429,27007,
2007,NV,2565382,19365,193,1096,,6938,11138,97118,24911,49844,22363,
2008,NV,2600167,18973,165,1106,,6486,11216,90006,24254,49814,15938,
2009,NV,2643085,18639,156,1024,,6028,11431,80976,22115,46463,12398,
2010,NV,2704283,17929,158,965,,5298,11508,75004,22286,42533,10185,
2011,NV,2720028,15452,139,913,,4308,10092,70075,20342,40156,9577,
2012,NV,2754354,16763,124,931,,4918,10790,77510,22120,45372,10018,
2013,NV,2791494,16888,163,1090,,5183,10060,79177,23047,46132,9998,
2014,NV,2838281,18043,170,987,1482,5954,10562,74574,21924,42466,10184,
2015,NV,2883758,20118,178,1688,1232,6287,11965,77137,22360,43426,11351,
2016,NV,2940058,19936,224,1733,1292,6340,11639,76047,18850,44017,13180,
1995,NH,1148000,1314,21,333,1688,314,646,29170,4806,22698,1666,
1996,NH,1162000,1373,20,404,,317,632,31436,5063,24611,1762,
1997,NH,1173000,1328,16,395,,274,643,29635,4612,23430,1593,
1998,NH,1185000,1270,18,400,,255,597,27405,3852,22079,1474,
1999,NH,1201134,1159,18,345,,257,539,26247,3698,21195,1354,
2000,NH,1235786,2167,22,522,,453,1170,27901,4992,20761,2148,
2001,NH,1259359,2144,17,458,,445,1224,27089,4889,20060,2140,
2002,NH,1274405,2056,12,446,,413,1185,26250,4838,19468,1944,
2003,NH,1288705,1937,17,438,,480,1002,26456,4589,19934,1933,
2004,NH,1299169,2202,17,466,,500,1219,26658,4979,19723,1956,
2005,NH,1306819,1761,19,406,,365,971,24031,4192,18493,1346,
2006,NH,1314895,1785,13,295,,435,1042,26060,4395,20179,1486,
2007,NH,1315828,1896,12,357,,451,1076,26394,5074,19909,1411,
2008,NH,1315809,2054,14,385,,421,1234,28387,4266,22714,1407,
2009,NH,1324575,2125,11,399,,454,1261,28790,4915,22748,1127,
2010,NH,1316807,2204,13,411,,450,1330,29230,5444,22789,997,
2011,NH,1317807,2864,16,581,,509,1758,32756,6244,25398,1114,
2012,NH,1321617,2841,15,486,,471,1869,32074,5988,25024,1062,
2013,NH,1322616,2952,21,522,,645,1708,30409,5283,24188,938,
2014,NH,1327996,2625,16,438,778,544,1469,26098,4191,21051,856,
2015,NH,1330111,2692,15,644,468,475,1558,23453,3482,19076,895,
2016,NH,1334795,2637,17,582,423,427,1611,20194,2963,16360,871,
1995,NJ,7945000,47652,409,1927,627,22486,22830,326056,69533,206339,50184,
1996,NJ,7988000,42459,338,1976,,18838,21307,303657,63259,193961,46437,
1997,NJ,8053000,39673,337,1729,,16957,20650,287038,60894,184979,41165,
1998,NJ,8115000,35720,325,1623,,15109,18663,260810,54459,171166,35185,
1999,NJ,8143412,33540,287,1409,,14243,17601,243333,46998,160978,35357,
2000,NJ,8414350,32298,289,1357,,13553,17099,233637,43924,155562,34151,
2001,NJ,8511116,33094,336,1278,,14110,17370,240551,46812,156031,37708,
2002,NJ,8575252,32252,339,1365,,13955,16593,227715,43899,148061,35755,
2003,NJ,8642412,31488,406,1288,,13342,16452,220350,43457,142287,34606,
2004,NJ,8685166,30943,392,1331,,13076,16144,211313,41030,139977,30306,
2005,NJ,8703150,30919,417,1208,,13215,16079,203391,38980,136728,27683,
2006,NJ,8724560,30550,427,1201,,13360,15562,198820,39384,134687,24749,
2007,NJ,8685920,28544,381,1032,,12567,14564,192338,37234,133145,21959,
2008,NJ,8682661,28351,376,1122,,12701,14152,199127,40402,138545,20180,
2009,NJ,8707739,27113,319,1041,,11639,14114,180752,36945,128303,15504,
2010,NJ,8799593,27055,371,981,,11818,13885,183042,38732,128754,15556,
2011,NJ,8834773,27203,380,1006,,12209,13608,189719,43238,129066,17415,
2012,NJ,8867749,25727,388,1035,,11385,12919,181481,42338,122662,16481,
2013,NJ,8911502,25748,404,861,,12084,12071,167634,35883,118005,13746,
2014,NJ,8938844,23319,352,953,1189,10499,11188,154945,31707,111534,11704,
2015,NJ,8935421,22879,363,1373,1019,9729,11414,145701,27960,105963,11778,
2016,NJ,8944469,21914,372,1453,1089,8984,11105,138152,25284,101540,11328,
1995,NM,1685000,13804,148,954,1373,2604,10098,94508,24383,61478,8647,
1996,NM,1713000,14399,197,1088,,2782,10332,98698,23586,65139,9973,
1997,NM,1730000,14762,134,872,,2966,10790,104721,25126,67188,12407,
1998,NM,1737000,16700,190,957,,2839,12714,100011,24213,65031,10767,
1999,NM,1739844,14520,170,944,,2579,10827,89220,21481,59613,8126,
2000,NM,1819046,13786,135,922,,2499,10230,86605,21339,57925,7341,
2001,NM,1830935,14288,99,850,,2695,10644,83095,19552,56406,7137,
2002,NM,1852044,13719,152,1027,,2206,10334,80477,19634,53406,7437,
2003,NM,1878562,12535,116,940,,1937,9542,76816,18997,50595,7224,
2004,NM,1903006,13081,169,1039,,2062,9811,79895,19924,52069,7902,
2005,NM,1925985,12448,144,1041,,1893,9370,79575,20939,50707,7929,
2006,NM,1954599,12797,134,1073,,2095,9495,76000,20906,45864,9230,
2007,NM,1969915,13311,183,1028,,2323,9777,75168,20823,45442,8903,
2008,NM,1984356,12967,161,1118,,2151,9537,75718,20706,46995,8017,
2009,NM,2009671,12709,198,1069,,1932,9510,74639,21955,46182,6502,
2010,NM,2065913,12147,140,959,,1616,9432,70776,21023,44503,5250,
2011,NM,2078674,11904,158,856,,1720,9170,73549,21419,46730,5400,
2012,NM,2083540,11660,116,957,,1847,8740,75094,21384,48247,5463,
2013,NM,2086895,12990,123,1135,,1832,9470,78958,21828,51146,5984,
2014,NM,2085567,12465,101,1070,1565,2086,8797,73877,18505,49082,6290,
2015,NM,2080328,13672,117,1663,1218,2485,9407,77212,17084,51485,8643,
2016,NM,2081015,14619,139,1526,1117,2737,10217,81931,17281,52907,11743,
1995,NY,18136000,152683,1550,4290,1672,72492,74351,674342,146562,425184,102596,
1996,NY,18185000,132206,1353,4174,,61822,64857,619250,129828,399522,89900,
1997,NY,18137000,124890,1093,4075,,56094,63628,584438,118306,386435,79697,
1998,NY,18175000,115915,924,3843,,49125,62023,536287,104821,363295,68171,
1999,NY,18196601,107147,903,3563,,43821,58860,489596,93217,338118,58261,
2000,NY,18976457,105111,952,3530,,40539,60090,483078,87946,340901,54231,
2001,NY,19084350,98022,960,3546,,36555,56961,458003,80400,329316,48287,
2002,NY,19134293,95030,909,3885,,36653,53583,442091,76700,318025,47366,
2003,NY,19212425,89486,934,3775,,35790,48987,432079,75453,311422,45204,
2004,NY,19280727,84914,889,3608,,33506,46911,422734,70696,311036,41002,
2005,NY,19315721,85839,874,3636,,35179,46150,405990,68034,302220,35736,
2006,NY,19306183,84016,922,3168,,34459,45467,398577,68617,297827,32133,
2007,NY,19297729,79962,805,2928,,31085,45144,383624,64914,290681,28029,
2008,NY,19490297,77546,836,2798,,31787,42125,388599,65544,297962,25093,
2009,NY,19541453,75110,781,2582,,28141,43606,377537,62769,292897,21871,
2010,NY,19395206,76492,868,2797,,28630,44197,379710,65839,293232,20639,
2011,NY,19501616,77463,769,2751,,28405,45538,371837,65227,287361,19249,
2012,NY,19576125,79535,683,2837,,28633,47382,375268,64389,293562,17317,"2012 -because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."
2013,NY,19695680,77563,644,2575,,27241,46130,358603,56444,286676,15483,
2014,NY,19748858,75972,616,4316,3548,24036,45295,339113,50738,272624,15751,
2015,NY,19747183,75126,613,6141,4414,23879,44493,317225,44117,257837,15271,
2016,NY,19745289,74285,630,6260,4569,22316,45079,305181,39821,250968,14392,
1995,NC,7195000,46508,677,2320,6074,12896,30615,359256,101995,234911,22350,
1996,NC,7323000,43068,619,2289,,12001,28159,361616,98539,238511,24566,
1997,NC,7425000,45071,614,2348,,12817,29292,362672,100002,238228,24442,
1998,NC,7546000,43723,612,2311,,12133,28667,357892,99951,233325,24616,
1999,NC,7650789,41474,552,2155,,12087,26680,354497,98457,230463,25577,
2000,NC,8049313,40051,560,2181,,12595,24715,355921,97888,232767,25266,
2001,NC,8206105,40465,505,2083,,13304,24573,363777,101889,237241,24647,
2002,NC,8305820,39118,548,2196,,12205,24169,353708,99535,229307,24866,
2003,NC,8421190,38243,506,2139,,12229,23369,359660,100687,232081,26892,
2004,NC,8540468,38244,532,2339,,11782,23591,355328,101193,227147,26988,
2005,NC,8672459,40650,585,2302,,12635,25128,353855,104298,221091,28466,
2006,NC,8856505,42088,539,2495,,13468,25586,364549,107333,227114,30102,
2007,NC,9061032,42231,584,2386,,13534,25727,369893,108700,233241,27952,
2008,NC,9222414,43125,599,2296,,14323,25907,372763,111556,234480,26727,
2009,NC,9380884,37946,489,2306,,11825,23326,343707,107830,215923,19954,
2010,NC,9560234,34679,474,2002,,9620,22583,329202,102826,208057,18319,
2011,NC,9651103,33421,498,1959,,9448,21516,337806,105534,215453,16819,
2012,NC,9748364,34464,479,1984,,9392,22609,328594,99323,213151,16120,
2013,NC,9848917,33587,463,1790,,9275,21325,305631,90182,201043,14406,
2014,NC,9940387,32718,498,1738,2524,8411,21377,285498,79266,192609,13623,
2015,NC,10035186,34734,517,2591,1886,8821,22805,275915,74760,187732,13423,
2016,NC,10146788,37769,678,2849,2086,9336,24906,277765,72082,190377,15306,
1995,ND,641000,556,6,146,2684,64,340,17817,2248,14421,1148,
1996,ND,644000,541,14,155,,71,301,16648,1991,13433,1224,
1997,ND,641000,559,6,159,,41,353,16821,2300,13367,1154,
1998,ND,638000,570,7,212,,65,286,16535,2274,13134,1127,
1999,ND,633666,424,10,142,,56,216,14748,2337,11375,1036,
2000,ND,642200,523,4,169,,56,294,14171,2093,11092,986,
2001,ND,636550,505,7,164,,60,274,14834,2165,11583,1086,
2002,ND,633911,496,5,163,,58,270,14762,2243,11501,1018,
2003,ND,633400,508,9,160,,53,286,13364,1959,10327,1078,
2004,ND,636308,558,8,177,,43,330,12493,2040,9516,937,
2005,ND,634605,706,12,180,,54,460,12848,2043,9732,1073,
2006,ND,635867,1255,14,241,,75,925,13359,2601,9672,1086,
2007,ND,639715,1343,17,252,,75,999,12796,2314,9500,982,
2008,ND,641481,1441,11,331,,73,1026,13029,2336,9782,911,
2009,ND,646844,1723,12,296,,107,1308,12813,2426,9474,913,
2010,ND,674629,1548,10,245,,90,1203,12010,2000,9137,873,
2011,ND,684740,1699,24,266,,91,1318,13334,2458,9891,985,
2012,ND,701345,1723,25,279,,127,1292,14297,2429,10687,1181,
2013,ND,723857,1979,16,288,,161,1447,15356,2979,10942,1435,
2014,ND,740040,2001,23,275,355,175,1421,15857,2751,11559,1547,
2015,ND,756835,1949,21,391,285,159,1378,17716,3296,12686,1734,
2016,ND,757952,1903,15,342,256,181,1365,17402,3243,12195,1964,
1995,OH,11151000,53799,600,4835,345,19931,28433,437424,93539,297624,46261,
1996,OH,11173000,47896,538,4617,,18336,24405,449935,93336,311071,45528,
1997,OH,11186000,48706,523,4566,,17755,25862,455799,94972,315908,45419,
1998,OH,11209000,40628,443,4543,,14960,20682,444438,90805,310612,43021,
1999,OH,11256654,35616,397,4129,,14405,16685,414264,87023,288049,39192,
2000,OH,11353140,37935,418,4271,,15610,17636,420939,88636,293277,39026,
2001,OH,11389785,40023,452,4466,,17199,17906,435115,96910,295976,42229,
2002,OH,11408699,40128,526,4809,,17871,16922,428976,99164,287045,42767,
2003,OH,11437680,38185,526,4660,,16895,16104,417483,95083,281383,41017,
2004,OH,11450143,38787,506,4744,,17429,16108,419337,96518,282168,40651,
2005,OH,11470685,40162,590,4671,,18673,16228,420705,100183,279051,41471,
2006,OH,11478006,41491,560,4770,,19418,16743,423334,105639,279718,37977,
2007,OH,11466917,40759,529,4661,,18351,17218,397681,99049,264677,33955,
2008,OH,11485910,40436,547,4531,,18706,16652,391667,102428,260788,28451,
2009,OH,11542645,38305,527,4119,,17670,15989,376446,104009,249777,22660,
2010,OH,11537968,36306,479,3730,,16486,15611,376836,107125,248581,21130,
2011,OH,11541007,35218,500,3679,,15991,15048,380572,112901,246744,20927,
2012,OH,11553031,34827,478,3813,,15396,15140,370435,105312,245372,19751,
2013,OH,11572005,33722,478,3594,,14483,14370,338414,91090,227799,19525,
2014,OH,11596998,33130,464,3825,4391,12780,14658,322517,79466,224942,18109,
2015,OH,11605090,34373,522,5441,3990,12617,15793,303743,69994,216354,17395,
2016,OH,11614373,34877,654,5589,4141,12523,16111,299357,66883,212807,19667,
1995,OK,3278000,21770,400,1461,5149,3788,16121,161693,41694,103727,16272,
1996,OK,3301000,19710,223,1545,,3519,14423,166892,41447,109506,15939,
1997,OK,3317000,18560,229,1517,,3446,13368,163698,40015,109039,14644,
1998,OK,3347000,18053,204,1513,,3078,13258,149426,38268,97593,13565,
1999,OK,3358044,17066,231,1375,,2785,12675,140220,34472,93616,12132,
2000,OK,3450654,17177,182,1422,,2615,12958,140125,31661,96116,12348,
2001,OK,3469577,17726,185,1486,,2746,13309,141679,34573,94537,12569,
2002,OK,3489700,17587,163,1573,,2966,12885,148128,35171,100185,12772,
2003,OK,3506469,17758,206,1501,,3224,12827,151208,34846,103404,12958,
2004,OK,3523546,17635,186,1557,,3090,12802,149472,35244,101271,12957,
2005,OK,3543442,18044,187,1481,,3230,13146,143406,35692,93814,13900,
2006,OK,3579212,17905,210,1488,,3145,13062,129728,34437,81853,13438,
2007,OK,3617316,18234,224,1565,,3392,13053,128714,34367,80747,13600,
2008,OK,3642361,19359,215,1471,,3698,13975,126535,35247,80265,11023,
2009,OK,3687050,18560,234,1535,,3358,13433,132350,38071,83813,10466,
2010,OK,3760184,18100,195,1469,,3345,13091,129464,37848,81303,10313,
2011,OK,3784163,17311,212,1410,,3288,12401,127618,36462,80064,11092,
2012,OK,3815780,18102,220,1622,,3248,13012,130969,36094,83131,11744,
2013,OK,3853118,17187,198,1715,,3023,11652,126418,33512,81624,11282,
2014,OK,3879610,16052,180,1361,2314,3073,10937,117445,29963,76719,10763,
2015,OK,3907414,16746,240,1953,1418,3018,11535,114055,28783,74678,10594,
2016,OK,3923561,17648,245,2039,1509,3162,12202,117037,29103,75779,12155,
1995,OR,3141000,16408,129,1309,1849,4332,10638,189765,34640,133075,22050,
1996,OR,3204000,14837,129,1272,,3914,9522,177295,31664,128618,17013,
1997,OR,3243000,14412,95,1306,,3811,9200,188916,33507,136129,19280,
1998,OR,3282000,13778,126,1307,,3452,8893,171545,30442,123841,17262,
1999,OR,3316154,12432,88,1219,,2858,8267,153434,26749,113052,13633,
2000,OR,3421399,12000,70,1286,,2888,7756,153780,25618,114230,13932,
2001,OR,3473441,10650,84,1174,,2749,6643,164524,26648,123034,14842,
2002,OR,3520355,10298,72,1238,,2742,6246,161145,25696,118925,16524,
2003,OR,3564330,10506,68,1218,,2847,6373,169863,28562,122327,18974,
2004,OR,3591363,10724,90,1283,,2751,6600,166475,30072,117868,18535,
2005,OR,3638871,10444,80,1266,,2478,6620,160199,27621,113316,19262,
2006,OR,3700758,10534,88,1219,,2711,6516,137858,24324,98897,14637,
2007,OR,3747455,11015,76,1276,,2864,6799,132773,22979,95157,14637,
2008,OR,3790060,9909,87,1183,,2656,5983,125169,21115,92677,11377,
2009,OR,3825657,9968,88,1202,,2499,6179,114780,19739,85064,9977,
2010,OR,3838332,9648,96,1239,,2421,5892,116657,20035,87494,9128,
2011,OR,3868229,9643,84,1239,,2237,6083,121869,20704,92059,9106,
2012,OR,3899801,9638,91,1159,,2419,5969,126417,22051,94114,10252,
2013,OR,3928068,9536,82,1000,,2394,5596,125083,20808,94363,9912,
2014,OR,3971202,10294,84,1165,1464,2270,6320,123142,18690,94177,10275,
2015,OR,4024634,10680,110,1650,1193,2163,6757,119752,18541,90514,10697,
2016,OR,4093465,10830,113,1721,1261,2278,6718,121345,16866,91286,13193,
1995,PA,12072000,51586,755,3046,1593,22858,24927,354623,67815,236991,49817,
1996,PA,12056000,57905,686,3034,,22784,31401,370851,71357,250758,48736,
1997,PA,12020000,53140,705,3289,,18788,30358,359323,68218,246892,44213,
1998,PA,12001000,50470,633,3223,,19787,26827,342318,63777,235873,42668,
1999,PA,11994016,50431,592,3279,,18670,27890,323021,56037,227750,39234,
2000,PA,12281054,51584,602,3247,,18155,29580,316274,54080,225869,36325,
2001,PA,12303104,50432,651,3467,,17500,28814,313408,54345,223350,35713,
2002,PA,12328827,49578,624,3731,,17163,28060,300868,55610,212441,32817,
2003,PA,12370761,49210,647,3556,,17980,27027,300639,53918,213279,33442,
2004,PA,12394471,50998,650,3535,,18474,28339,299611,54443,214199,30969,
2005,PA,12405348,52761,756,3586,,19214,29205,300444,56134,214916,29394,
2006,PA,12440621,55028,741,3611,,21095,29581,304589,57739,217142,29708,
2007,PA,12432792,51806,725,3443,,19440,28198,293850,56091,211248,26511,
2008,PA,12448279,51044,705,3485,,18873,27981,300294,58687,219115,22492,
2009,PA,12604767,48188,664,3626,,17504,26394,277182,54772,204588,17822,
2010,PA,12717722,46612,653,3472,,16375,26112,276366,55206,204440,16720,
2011,PA,12743948,46189,639,3339,,16165,26046,283442,57966,208604,16872,
2012,PA,12764475,45384,707,3371,,15735,25571,276562,57040,204409,15113,
2013,PA,12781296,42825,611,2728,,14739,23680,263176,52000,197410,13766,
2014,PA,12793767,40298,610,2785,3795,13545,22304,246982,45718,188211,13053,
2015,PA,12791904,40348,665,4299,3105,12965,22419,231941,39573,180236,12132,
2016,PA,12784227,40447,661,4433,3233,12326,23027,222795,35520,174228,13047,
1995,RI,990000,3643,33,267,4305,914,2429,38378,9234,24780,4364,
1996,RI,990000,3437,25,287,,824,2301,36099,8135,23367,4597,
1997,RI,987000,3292,25,363,,707,2197,32777,7083,21499,4195,
1998,RI,988000,3084,24,351,,659,2050,31672,6452,21391,3829,
1999,RI,990819,2840,36,391,,788,1625,32657,6341,22284,4032,
2000,RI,1048319,3121,45,412,,922,1742,33323,6620,22038,4665,
2001,RI,1059659,3278,39,416,,986,1837,35742,6824,23875,5043,
2002,RI,1068326,3051,41,395,,916,1699,35342,6415,24051,4876,
2003,RI,1076084,3074,25,505,,830,1714,32231,5524,22320,4387,
2004,RI,1079916,2673,26,320,,731,1596,31166,5465,21623,4078,
2005,RI,1073579,2710,34,323,,776,1577,29287,5319,19567,4401,
2006,RI,1067610,2460,27,289,,740,1404,27914,5453,18852,3609,
2007,RI,1057832,2424,19,258,,760,1387,27576,5206,19175,3195,
2008,RI,1050788,2656,31,282,,880,1463,29895,5766,20926,3203,
2009,RI,1053209,2678,32,296,,785,1565,27558,5753,19403,2402,
2010,RI,1052528,2709,29,298,,782,1600,26959,6124,18432,2403,
2011,RI,1050646,2586,20,319,,744,1503,27976,6836,18765,2375,
2012,RI,1050304,2657,26,292,,715,1614,27039,5929,18478,2632,
2013,RI,1053354,2710,31,333,,683,1547,25741,5621,17881,2239,
2014,RI,1054907,2320,26,264,449,530,1398,22982,4830,16317,1835,
2015,RI,1055607,2565,31,467,342,547,1520,20038,3938,14714,1386,
2016,RI,1056426,2524,29,442,328,540,1513,20058,3788,14674,1596,
1995,SC,3673000,36067,292,1737,459,6461,27577,186656,46083,126416,14157,
1996,SC,3699000,36875,332,1821,,6361,28361,192986,47487,129650,15849,
1997,SC,3760000,37235,314,1837,,6624,28460,193402,46322,131325,15755,
1998,SC,3836000,34647,306,1753,,5943,26645,186960,44600,126412,15948,
1999,SC,3885736,32920,258,1587,,5760,25315,173987,39630,119912,14445,
2000,SC,4012012,33225,291,1660,,6220,25054,181290,40319,125385,15586,
2001,SC,4062125,33114,330,1769,,5987,25028,186054,42611,126742,16701,
2002,SC,4103770,33761,298,1959,,5774,25730,183808,43745,123196,16867,
2003,SC,4148744,33455,303,1952,,5801,25399,187592,43993,127809,15790,
