Record Type,ORI,Agency Name,Incident Number,Incident Date,Data Source,Report Date Indicator,Incident Hour,Cleared Exceptionally,CT Offense #1,CT Location #1,CT Offense #2,CT Location #2,CT Offense #3,CT Location #3,CT Offense #4,CT Location #4,CT Offense #5,CT Location #5,CT Offense #6,CT Location #6,CT Offense #7,CT Location #7,CT Offense #8,CT Location #8,CT Offense #9,CT Location #9,CT Offense #10,CT Location #10,Wpn Type #1,Wpn Auto #1,Wpn Type #2,Wpn Auto #2,Wpn Type #3,Wpn Auto #3,Victim Type #1,Victim Type #2,Victim Type #3,Victim Type #4,Victim Type #5,Victim Type #6,Victim Type #7,Victim Type #8,Victim Type #9,Stolen Prop Desc #1,Value of Stolen Prop #1,Prop Rec Date #1,Prop Rec Value #1,Stolen Prop Desc #2,Value of Stolen Prop #2,Prop Rec Date #2,Prop Rec Value #2,Stolen Prop Desc #3,Value of Stolen Prop #3,Prop Rec Date #3,Prop Rec Value #3,Stolen Prop Desc #4,Value of Stolen Prop #4,Prop Rec Date #4,Prop Rec Value #4,Stolen Prop Desc #5,Value of Stolen Prop #5,Prop Rec Date #5,Prop Rec Value #5,Stolen Prop Desc #6,Value of Stolen Prop #6,Prop Rec Date #6,Prop Rec Value #6,Stolen Prop Desc #7,Value of Stolen Prop #7,Prop Rec Date #7,Prop Rec Value #7,Stolen Prop Desc #8,Value of Stolen Prop #8,Prop Rec Date #8,Prop Rec Value #8,Stolen Prop Desc #9,Value of Stolen Prop #9,Prop Rec Date #9,Prop Rec Value #9,Stolen Prop Desc #10,Value of Stolen Prop #10,Prop Rec Date #10,Prop Rec Value #10,Unknown Offender Indicator,Offender Count,Age of Offender #1,Sex of Offender #1,Race of Offender #1,Ethnicity of Offender #1,Age of Offender #2,Sex of Offender #2,Race of Offender #2,Ethnicity of Offender #2,Age of Offender #3,Sex of Offender #3,Race of Offender #3,Ethnicity of Offender #3,Age of Offender #4,Sex of Offender #4,Race of Offender #4,Ethnicity of Offender #4,Age of Offender #5,Sex of Offender #5,Race of Offender #5,Ethnicity of Offender #5,Arrestee Count,Age of Arrestee #1,Sex of Arrestee #1,Race of Arrestee #1,Ethnicity of Arrestee #1,Age of Arrestee #2,Sex of Arrestee #2,Race of Arrestee #2,Ethnicity of Arrestee #2,Age of Arrestee #3,Sex of Arrestee #3,Race of Arrestee #3,Ethnicity of Arrestee #3,Age of Arrestee #4,Sex of Arrestee #4,Race of Arrestee #4,Ethnicity of Arrestee #4,Age of Arrestee #5,Sex of Arrestee #5,Race of Arrestee #5,Ethnicity of Arrestee #5
IR,AK0010100,ANCHORAGE,15-29566,20150723,E,,00,,220,45,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,13,000003500,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,AK0010100,ANCHORAGE,15-38874,20150924,E,,00,,23H,25,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,13,000000600,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,00,U,U,U,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,AR0230100,CONWAY,15-14055,20151204,N,,16,,23H,45,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,19,000000220,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,CODPD0000,DENVER,15-000724367,20151213,N,,07,,23H,08,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,78,000010000,20151214,000000001,19,000054701,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,2,00,M,U,U,00,M,U,U,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,CO0010100,AURORA,15-018073,20150510,N,,22,,23H,13,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000001800,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,49,M,B,N,,,,,,,,,,,,,,,,,1,49,M,B,N,,,,,,,,,,,,,,,,
IR,CO0010100,AURORA,15-024051,20150624,N,,16,,220,45,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,26,000022000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,CO0390100,GRAND JUNCTI,15-00070598,20151121,N,,23,,23F,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000000001,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,00,U,U,U,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,CO0640100,BROOMFIELD,0115000557,20150127,N,,08,,23F,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,02,000000060,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,00,U,U,U,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0061200,DAVIE,15-007238,20150205,E,R,15,,23H,51,240,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,78,000029500,00000000,000000000,37,000055000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,28,M,W,H,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0063400,SEMINOLE TRI,201503535,20150707,E,,23,,240,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000250000,20150910,000250000,37,000075000,20150910,000075000,78,000025000,20150910,000025000,75,000000100,20150910,000000100,26,000000060,20150910,000000060,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0080000,CHARLOTTE,1501-014969,20150128,E,R,04,,240,18,23F,,,,,,,,,,,,,,,,,,,,,,,,B,I,,,,,,,,37,000025000,00000000,000000000,78,000050000,00000000,000000000,15,000002497,00000000,000000000,36,000000500,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150106000334,20150106,E,,12,,23F,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,26,000011904,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150112000805,20150112,E,,16,,23F,08,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,20,000001000,00000000,000000000,07,000000600,00000000,000000000,06,000000025,00000000,000000000,77,000000001,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150115001003,20150115,E,,16,,23H,25,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,75,000032000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150124001582,20150124,E,,09,,23H,25,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000000500,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,41,M,W,H,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150202002237,20150202,E,,08,,23H,13,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000000100,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150206002571,20150206,E,,17,,23F,13,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,75,000005000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150210002850,20150210,E,,15,,23H,25,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,07,000023642,00000000,000000000,26,000015391,00000000,000000000,07,000002521,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,2,26,M,W,N,23,M,U,N,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150212002976,20150212,E,,11,,23F,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,26,000005000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150225003953,20150225,E,,18,,23F,25,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,75,000010000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150306004569,20150306,E,,13,,23H,05,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,75,000100000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150416007574,20150416,E,,07,,23H,05,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000078449,00000000,000000000,38,000001000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150506009109,20150506,E,,13,,220,19,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,08,000070000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150507009201,20150507,E,,17,,23H,05,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,75,001400000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,62,M,U,N,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150622012598,20150622,E,,14,,23H,08,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,06,000003000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150625012840,20150625,E,,15,,23F,18,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,07,000009000,00000000,000000000,77,000000025,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,00,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
IR,FL0131100,DORAL,150804015773,20150804,E,,10,,23H,05,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,77,000500000,20150807,000500000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,000000000,00000000,000000000,,1,30,M,W,H,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
