ori,months_reported,sex_acts,sex_acts_cleared,sex_acts_juvenile_cleared,servitude,servitude_cleared,servitude_juvenile_cleared
ALDI003,1,0,0,0,0,0,0
AZDI023,1,0,0,0,0,0,0
AZDI052,2,0,0,0,0,0,0
AZDI053,1,0,0,0,0,0,0
AZDI060,1,0,0,0,0,0,0
AZDI061,12,0,0,0,0,0,0
AZDI066,1,0,0,0,0,0,0
AZDI067,1,0,0,0,0,0,0
AZDI069,2,0,0,0,0,0,0
AZDI081,1,0,0,0,0,0,0
AZ00489,1,0,0,0,0,0,0
AZ00703,2,2,2,0,0,1,0
AZ00713,1,1,0,0,0,0,0
AZ00715,4,6,1,0,0,0,0
AZ00725,3,3,3,0,0,0,0
AZ00729,1,3,3,0,0,0,0
AZ00803,1,0,0,0,0,0,0
AZ00807,1,0,0,0,0,0,0
AZ00989,1,0,0,0,0,0,0
AZ01003,1,1,0,0,0,0,0
AZ01012,1,0,0,0,0,0,0
AZ01115,1,0,0,0,0,0,0
CADIT00,1,0,0,0,0,0,0
CADIT02,1,0,0,0,0,0,0
CADIT04,1,0,0,0,0,0,0
CADIT05,1,0,0,0,0,0,0
CADIT08,1,0,0,0,0,0,0
CADIT09,1,0,0,0,0,0,0
CADIT11,1,0,0,0,0,0,0
CO00101,2,3,3,0,0,0,0
CO00300,3,2,2,0,2,0,0
CO03000,1,1,0,0,0,0,0
CO03004,1,1,0,0,0,0,0
CO06202,1,4,4,0,0,0,0
FL00100,1,0,0,0,0,0,0
FL00101,1,0,0,0,0,0,0
FL00104,1,0,0,0,0,0,0
FL00106,1,0,0,0,0,0,0
FL00108,1,0,0,0,0,0,0
FL00125,1,0,0,0,0,0,0
FL00127,1,0,0,0,0,0,0
FL00129,1,0,0,0,0,0,0
FL00150,1,0,0,0,0,0,0
FL00180,1,0,0,0,0,0,0
FL00190,1,0,0,0,0,0,0
FL00200,1,0,0,0,0,0,0
FL00204,1,0,0,0,0,0,0
FL00250,1,0,0,0,0,0,0
FL00280,1,0,0,0,0,0,0
FL00290,1,0,0,0,0,0,0
FL00300,1,0,0,0,0,0,0
FL00301,1,0,0,0,0,0,0
FL00304,1,0,0,0,0,0,0
FL00305,1,0,0,0,0,0,0
FL00306,1,0,0,0,0,0,0
FL00307,1,0,0,0,0,0,0
FL00311,1,0,0,0,0,0,0
FL00313,1,0,0,0,0,0,0
FL00316,1,0,0,0,0,0,0
FL00326,1,0,0,0,0,0,0
FL00350,1,0,0,0,0,0,0
FL00380,1,0,0,0,0,0,0
FL00390,1,0,0,0,0,0,0
FL00400,1,0,0,0,0,0,0
FL00401,1,0,0,0,0,0,0
FL00402,1,0,0,0,0,0,0
FL00403,1,0,0,0,0,0,0
FL00405,1,0,0,0,0,0,0
FL00450,1,0,0,0,0,0,0
FL00480,1,0,0,0,0,0,0
FL00490,1,0,0,0,0,0,0
FL00500,1,0,0,0,0,0,0
FL00502,1,0,0,0,0,0,0
FL00503,1,0,0,0,0,0,0
FL00505,1,0,0,0,0,0,0
FL00506,1,0,0,0,0,0,0
FL00507,1,0,0,0,0,0,0
FL00508,1,0,0,0,0,0,0
FL00509,1,0,0,0,0,0,0
FL00510,1,0,0,0,0,0,0
FL00511,1,0,0,0,0,0,0
FL00512,1,1,1,0,0,0,0
FL00515,1,0,0,0,0,0,0
FL00516,1,0,0,0,0,0,0
FL00518,1,0,0,0,0,0,0
FL00550,1,0,0,0,0,0,0
FL00580,1,0,0,0,0,0,0
FL00590,1,0,0,0,0,0,0
FL00592,1,0,0,0,0,0,0
FL00600,1,0,0,0,0,0,0
FL00601,1,0,0,0,0,0,0
FL00602,1,0,0,0,0,0,0
FL00603,1,0,0,0,0,0,0
FL00604,1,0,0,0,0,0,0
FL00605,1,0,0,0,0,0,0
FL00606,1,0,0,0,0,0,0
FL00607,1,0,0,0,0,0,0
FL00608,1,0,0,0,0,0,0
FL00609,1,0,0,0,0,0,0
FL00610,1,0,0,0,0,0,0
FL00611,1,0,0,0,0,0,0
FL00612,1,0,0,0,0,0,0
FL00614,1,0,0,0,0,0,0
FL00616,1,0,0,0,0,0,0
FL00617,1,0,0,0,0,0,0
FL00618,1,0,0,0,0,0,0
FL00620,1,0,0,0,0,0,0
FL00621,1,0,0,0,0,0,0
FL00622,1,0,0,0,0,0,0
FL00623,1,0,0,0,0,0,0
FL00624,1,0,0,0,0,0,0
FL00626,1,0,0,0,0,0,0
FL00627,1,0,0,0,0,0,0
FL00628,1,0,0,0,0,0,0
FL00630,1,0,0,0,0,0,0
FL00631,1,0,0,0,0,0,0
FL00632,1,0,0,0,0,0,0
FL00633,1,0,0,0,0,0,0
FL00634,1,0,0,0,0,0,0
FL00638,1,0,0,0,0,0,0
FL00640,1,0,0,0,0,0,0
