ori,months_reported,sex_acts,sex_acts_cleared,sex_acts_juvenile_cleared,servitude,servitude_cleared,servitude_juvenile_cleared
MDBPD00,1,0,0,0,0,0,0
MD00301,1,0,0,0,0,0,0
MD01103,1,0,0,0,0,0,0
MD01300,1,0,0,0,0,0,0
MD01900,1,0,0,0,0,0,0
MD02200,1,0,0,0,0,0,0
MD02204,1,0,0,0,0,0,0
MD306SP,1,0,0,0,0,0,0
MD324SP,1,0,0,0,0,0,0
MS00601,10,0,0,0,0,0,0
MS01000,5,0,0,0,0,0,0
MS01001,2,0,0,0,0,0,0
MS01100,4,0,0,0,0,0,0
MS01300,2,0,0,0,0,0,0
MS01403,4,0,0,0,0,0,0
MS01501,1,0,0,0,0,0,0
MS01700,2,0,0,0,0,0,0
MS01701,5,0,0,0,0,0,0
MS01702,4,0,0,0,0,0,0
MS01704,3,0,0,0,0,0,0
MS01801,9,0,0,0,0,0,0
MS01802,4,0,0,0,0,0,0
MS02000,12,0,0,0,0,0,0
MS02100,5,0,0,0,0,0,0
MS02300,9,0,0,0,0,0,0
MS02400,10,0,0,0,0,0,0
MS02403,7,0,0,0,0,0,0
MS02404,6,0,0,0,0,0,0
MS02408,3,0,0,0,0,0,0
MS02501,2,0,0,0,0,0,0
MS02510,6,0,0,0,0,0,0
MS02516,6,0,0,0,0,0,0
MS02519,6,0,0,0,0,0,0
MS02900,4,0,0,0,0,0,0
MS03009,6,0,0,0,0,0,0
MS03200,7,0,0,0,0,0,0
MS03400,4,0,0,0,0,0,0
MS03402,5,0,0,0,0,0,0
MS03500,4,0,0,0,0,0,0
MS03602,3,0,0,0,0,0,0
MS03700,5,0,0,0,0,0,0
MS04001,2,0,0,0,0,0,0
MS04100,3,0,0,0,0,0,0
MS04200,6,0,0,0,0,0,0
MS04201,3,0,0,0,0,0,0
MS04300,2,0,0,0,0,0,0
MS04301,2,0,0,0,0,0,0
MS04500,6,0,0,0,0,0,0
MS04504,6,0,0,0,0,0,0
MS04600,5,0,0,0,0,0,0
MS04601,5,0,0,0,0,0,0
MS04702,7,0,0,0,0,0,0
MS04801,6,0,0,0,0,0,0
MS05001,6,0,0,0,0,0,0
MS05301,7,0,0,0,0,0,0
MS05303,4,0,0,0,0,0,0
MS05400,3,0,0,0,0,0,0
MS05401,8,0,0,0,0,0,0
MS05501,5,0,0,0,0,0,0
MS05502,2,0,0,0,0,0,0
