year,state_abbr,locality,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,caveats
2014,VI,St. Croix,,250,19,18,,64,149,1072,462,510,100,50,
2015,VI,St. Croix,,291,23,,19,77,172,932,440,403,89,49,
1995,VI,St. Thomas,,,,,,,,,,,,,Not Available
1996,VI,St. Thomas,,,,,,,,,,,,,Not Available
1997,VI,St. Thomas,,,,,,,,,,,,,Not Available
1998,VI,St. Thomas,,,,,,,,,,,,,Not Available
1999,VI,St. Thomas,,,,,,,,,,,,,Not Available
2000,VI,St. Thomas,,,,,,,,,,,,,Not Available
2001,VI,St. Thomas,,,,,,,,,,,,,Not Available
2002,VI,St. Thomas,,,,,,,,,,,,,Not Available
2003,VI,St. Thomas,,,,,,,,,,,,,Not Available
2004,VI,St. Thomas,,,,,,,,,,,,,Not Available
2005,VI,St. Thomas,,,,,,,,,,,,,Not Available
2006,VI,St. Thomas,,,,,,,,,,,,,Not Available
2007,VI,St. Thomas,,,,,,,,,,,,,Not Available
2008,VI,St. Thomas,,,,,,,,,,,,,Not Available
2009,VI,St. Thomas,,,,,,,,,,,,,Not Available
2010,VI,St. Thomas,,1176,31,45,,252,848,1609,788,699,122,36,
2011,VI,St. Thomas,,735,14,35,,167,519,1674,823,739,112,18,
2012,VI,St. Thomas,,563,28,26,,142,367,1468,678,676,114,27,
2013,VI,St. Thomas,,754,15,35,,128,576,1403,564,727,112,44,
2014,VI,St. Thomas,,693,18,,36,144,495,1224,400,712,112,67,
2015,VI,St. Thomas,,608,23,,32,77,476,1189,456,639,94,72,

