A review of all columns in the database to determine which ones should be
excluded from a small data dump under version control to eliminate risk of
PII exposure.  Most of the "unsafe" columns should also be deleted from the
database itself before the API is made available.

./scrub_private.sql performs the decisions made here.

 safe  |         table_name          |         column_name          |          data_type          | max_length |      column_default       |   tuples    |            table_comment            |                                                                                                                                                                         column_comment
 - [x] | shr_victim                  | ethnicity_id                 | smallint                    |            |                           |      875588 |                                     |
 - [x] | shr_victim                  | nibrs_victim_id              | bigint                      |            |                           |      875588 |                                     |
 - [x] | shr_victim                  | nibrs_offense_id             | bigint                      |            |                           |      875588 |                                     |
 - [x] | supp_larceny_type           | larceny_type_id              | bigint                      |            |                           |          10 |                                     |
 - [x] | supp_larceny_type           | larceny_type_name            | character varying           |        100 |                           |          10 |                                     |
 - [x] | supp_larceny_type           | larceny_type_code            | character varying           |         20 |                           |          10 |                                     |
 - [x] | supp_larceny_type           | larceny_xml_name             | character varying           |        100 |                           |          10 |                                     |
 - [x] | supp_month                  | supp_month_id                | bigint                      |            |                           |      443076 |                                     |
 - [x] | supp_month                  | agency_id                    | bigint                      |            |                           |      443076 |                                     |
 - [x] | supp_month                  | data_year                    | smallint                    |            |                           |      443076 |                                     |
 - [x] | supp_month                  | month_num                    | smallint                    |            |                           |      443076 |                                     |
 - [x] | supp_month                  | data_home                    | character                   |          1 |                           |      443076 |                                     |
 - [x] | supp_month                  | source_flag                  | character                   |          1 |                           |      443076 |                                     | This field indicates the source of the data.  R came into the system as a report, I means the data was derived from NIBRS data.
 - [x] | supp_month                  | reported_flag                | character                   |          1 |                           |      443076 |                                     |
 - [x] | supp_month                  | report_date                  | timestamp without time zone |            |                           |      443076 |                                     |
 - [x] | supp_month                  | prepared_date                | timestamp without time zone |            |                           |      443076 |                                     |
 - [ ] | supp_month                  | ddocname                     | character varying           |        100 |                           |      443076 |                                     |
 - [x] | supp_month                  | orig_format                  | character                   |          1 |                           |      443076 |                                     |
 - [x] | supp_month                  | mv_stolen_local_rec_local    | bigint                      |            |                           |      443076 |                                     |
 - [x] | supp_month                  | mv_stolen_local_rec_other    | bigint                      |            |                           |      443076 |                                     |
 - [x] | supp_month                  | mv_tot_local_stolen_rec      | bigint                      |            |                           |      443076 |                                     |
 - [x] | supp_month                  | mv_stolen_other_rec_local    | bigint                      |            |                           |      443076 |                                     |
 - [x] | supp_month                  | mv_stolen_status             | smallint                    |            |                           |      443076 |                                     |
 - [x] | supp_month                  | update_flag                  | character                   |          1 |                           |      443076 |                                     |
 - [ ] | supp_month                  | did                          | bigint                      |            |                           |      443076 |                                     |
 - [ ] | supp_month                  | ff_line_number               | bigint                      |            |                           |      443076 |                                     |
 - [x] | supp_offense                | offense_id                   | bigint                      |            |                           |           7 |                                     |
 - [x] | supp_offense                | offense_name                 | character varying           |        100 |                           |           7 |                                     |
 - [x] | supp_offense                | offense_code                 | character varying           |         20 |                           |           7 |                                     |
 - [x] | supp_offense_subcat         | offense_subcat_id            | bigint                      |            |                           |          23 |                                     |
 - [x] | supp_offense_subcat         | offense_id                   | bigint                      |            |                           |          23 |                                     |
 - [x] | supp_offense_subcat         | offense_subcat_name          | character varying           |        100 |                           |          23 |                                     |
 - [x] | supp_offense_subcat         | offense_subcat_code          | character varying           |         20 |                           |          23 |                                     |
 - [x] | supp_offense_subcat         | offense_subcat_xml_name      | character varying           |        100 |                           |          23 |                                     |
 - [x] | supp_prop_by_offense_subcat | supp_month_id                | bigint                      |            |                           |  8.4268e+06 |                                     |
 - [x] | supp_prop_by_offense_subcat | offense_subcat_id            | bigint                      |            |                           |  8.4268e+06 |                                     |
 - [x] | supp_prop_by_offense_subcat | actual_count                 | integer                     |            |                           |  8.4268e+06 |                                     |
 - [x] | supp_prop_by_offense_subcat | actual_status                | smallint                    |            |                           |  8.4268e+06 |                                     |
 - [x] | supp_prop_by_offense_subcat | stolen_value                 | bigint                      |            |                           |  8.4268e+06 |                                     |
 - [x] | supp_prop_by_offense_subcat | stolen_value_status          | smallint                    |            |                           |  8.4268e+06 |                                     |
 - [x] | supp_property_by_type_value | supp_month_id                | bigint                      |            |                           | 4.87394e+06 |                                     |
 - [x] | supp_property_by_type_value | prop_type_id                 | bigint                      |            |                           | 4.87394e+06 |                                     |
 - [x] | supp_property_by_type_value | stolen_value                 | bigint                      |            |                           | 4.87394e+06 |                                     |
 - [x] | supp_property_by_type_value | stolen_value_status          | smallint                    |            |                           | 4.87394e+06 |                                     |
 - [x] | supp_property_by_type_value | recovered_value              | bigint                      |            |                           | 4.87394e+06 |                                     |
 - [x] | supp_property_by_type_value | recovered_value_status       | smallint                    |            |                           | 4.87394e+06 |                                     |
 - [x] | supp_property_type          | prop_type_id                 | bigint                      |            |                           |          12 |                                     |
 - [x] | supp_property_type          | prop_type_name               | character varying           |        100 |                           |          12 |                                     |
 - [x] | supp_property_type          | prop_type_code               | character varying           |         20 |                           |          12 |                                     |
 - [x] | supp_property_type          | prop_type_code_num           | smallint                    |            |                           |          12 |                                     |
(880 rows)
